YEAR,MONTH,DAY,HOUR,OPTPWR,IIT,IHT,kwh,SUN
2020,3,1,6,1.54,31.0,25.0,3.1000000000000005,0.0
2020,3,1,7,4.85,37.0,38.0,7.349,0.41
2020,3,1,8,9.62,39.0,42.0,7.851000000000001,0.55
2020,3,1,9,15.28,41.0,36.0,3.695,0.5
2020,3,1,10,7.55,41.0,46.0,7.912000000000001,0.76
2020,3,1,11,9.77,41.0,49.0,10.975999999999999,0.81
2020,3,1,12,17.27,38.0,38.0,9.042,1.53
2020,3,1,13,18.81,41.0,41.0,4.745,0.85
2020,3,1,14,7.51,40.0,38.0,1.6210000000000002,0.36
2020,3,1,15,2.61,39.0,39.0,1.1349999999999996,0.0
2020,3,1,16,1.5,38.0,38.0,0.5,0.0
2020,3,1,17,0.82,37.0,37.0,0.029,0.0
2020,3,1,18,0.1,36.0,36.0,0.0,0.0
2020,3,2,6,0.81,29.0,22.0,2.11,0.0
2020,3,2,7,4.1,32.0,29.0,9.387000000000002,0.16
2020,3,2,8,15.64,32.0,33.0,12.938,1.1
2020,3,2,9,19.73,33.0,38.0,18.076,1.58
2020,3,2,10,24.47,35.0,42.0,20.385,1.78
2020,3,2,11,26.22,37.0,46.0,19.574,1.95
2020,3,2,12,26.25,37.0,45.0,20.762,1.62
2020,3,2,13,26.43,37.0,45.0,18.085,1.56
2020,3,2,14,26.24,37.0,42.0,12.499999999999995,1.46
2020,3,2,15,19.14,35.0,38.0,5.495,1.24
2020,3,2,16,10.99,35.0,31.0,1.3759999999999997,0.72
2020,3,2,17,3.34,34.0,30.0,0.037000000000000005,0.02
2020,3,2,18,0.11,33.0,30.0,0.0,0.0
2020,3,3,6,0.93,30.0,24.0,3.709,0.0
2020,3,3,7,5.67,37.0,38.0,4.753000000000001,0.35
2020,3,3,8,5.39,39.0,46.0,5.081,0.6
2020,3,3,9,5.96,39.0,49.0,11.200000000000005,0.6
2020,3,3,10,21.02,39.0,42.0,14.793,1.14
2020,3,3,11,24.61,38.0,45.0,21.8,2.17
2020,3,3,12,22.97,40.0,46.0,22.345,2.22
2020,3,3,13,22.47,40.0,46.0,17.941000000000006,2.46
2020,3,3,14,20.26,39.0,43.0,13.647,2.03
2020,3,3,15,17.13,37.0,38.0,7.028999999999999,1.43
2020,3,3,16,10.85,37.0,33.0,1.3769999999999996,0.72
2020,3,3,17,3.25,37.0,34.0,0.029,0.03
2020,3,3,18,0.1,36.0,34.0,0.0,0.0
2020,3,4,6,0.9,32.0,25.0,0.6629999999999999,0.0
2020,3,4,7,1.19,33.0,28.0,1.4360000000000002,0.0
2020,3,4,8,2.1,34.0,30.0,2.061,0.0
2020,3,4,9,2.75,33.0,31.0,2.546,0.17
2020,3,4,10,5.9,34.0,33.0,3.65,0.17
2020,3,4,11,5.66,35.0,36.0,2.853,0.55
2020,3,4,12,3.41,35.0,36.0,2.1180000000000003,0.52
2020,3,4,13,3.27,34.0,33.0,3.0569999999999995,0.05
2020,3,4,14,5.93,34.0,36.0,5.123000000000001,0.53
2020,3,4,15,7.83,34.0,39.0,2.5390000000000006,0.71
2020,3,4,16,4.55,35.0,35.0,0.39799999999999996,0.19
2020,3,4,17,1.32,34.0,31.0,0.016,0.0
2020,3,4,18,0.09,31.0,27.0,0.0,0.0
2020,3,5,6,0.15,25.0,18.0,0.619,0.0
2020,3,5,7,1.74,27.0,21.0,2.0320000000000005,0.0
2020,3,5,8,2.75,29.0,25.0,5.251,0.19
2020,3,5,9,8.52,32.0,36.0,9.025,0.56
2020,3,5,10,11.06,30.0,30.0,7.683,0.89
2020,3,5,11,12.55,30.0,29.0,11.139000000000001,0.65
2020,3,5,12,15.43,31.0,33.0,14.139,0.94
2020,3,5,13,18.55,33.0,36.0,7.75,1.65
2020,3,5,14,13.9,34.0,33.0,3.9819999999999993,0.89
2020,3,5,15,6.12,35.0,36.0,1.7650000000000003,0.34
2020,3,5,16,2.11,34.0,34.0,0.8580000000000001,0.0
2020,3,5,17,1.58,33.0,31.0,0.033,0.0
2020,3,5,18,0.09,32.0,29.0,0.0,0.0
