,Local_Time,YEAR,MONTH,DAY,HOUR,OPTPWR,kwh,ACV1,ACV2,ACCL1,ACCL2,ACF1,IIT,IHT,DCVL1,DCVL2,DCCL1,DCCL2,IPA,IPB,TOTALKWH
0,2020-03-01 06:00:00,2020,3,1,6,1.54,3.1000000000000005,231.0,228.0,3.0,2.7,60.1,31.0,25.0,778.0,771.0,0.8,0.8,0.78,0.78,43355.0
1,2020-03-01 07:00:00,2020,3,1,7,4.85,7.349,231.0,228.0,7.5,6.8,60.2,37.0,38.0,770.0,780.0,3.0,3.0,2.42,2.42,43358.0
2,2020-03-01 08:00:00,2020,3,1,8,9.62,7.851000000000001,233.0,228.0,14.3,13.6,60.1,39.0,42.0,772.0,771.0,6.4,6.6,4.89,4.89,43365.0
3,2020-03-01 09:00:00,2020,3,1,9,15.28,3.6950000000000003,232.0,228.0,22.3,21.6,60.1,41.0,36.0,780.0,770.0,8.9,10.6,6.77,8.1,43373.0
4,2020-03-01 10:00:00,2020,3,1,10,7.55,7.912,231.0,227.0,11.4,10.6,60.1,41.0,46.0,778.0,760.0,4.8,4.9,3.76,3.77,43376.0
5,2020-03-01 11:00:00,2020,3,1,11,9.77,10.976,230.0,227.0,14.7,13.9,60.1,41.0,49.0,780.0,760.0,6.2,6.5,4.91,4.94,43384.0
6,2020-03-01 12:00:00,2020,3,1,12,17.27,9.042,232.0,229.0,25.2,24.8,60.3,38.0,38.0,773.0,762.0,11.5,11.6,8.84,8.61,43395.0
7,2020-03-01 13:00:00,2020,3,1,13,18.81,4.745,233.0,229.0,27.3,26.3,60.1,41.0,41.0,779.0,768.0,12.2,13.1,9.07,9.65,43404.0
8,2020-03-01 14:00:00,2020,3,1,14,7.51,1.6210000000000002,231.0,228.0,11.3,10.6,60.2,40.0,38.0,767.0,758.0,4.7,4.9,3.69,3.81,43409.0
9,2020-03-01 15:00:00,2020,3,1,15,2.61,1.1349999999999996,230.0,228.0,4.4,3.9,60.1,39.0,39.0,748.0,740.0,1.5,1.6,1.29,1.32,43410.0
10,2020-03-01 16:00:00,2020,3,1,16,1.5,0.5,230.0,227.0,3.0,2.7,60.1,38.0,38.0,736.0,738.0,0.8,0.8,0.76,0.88,43411.0
11,2020-03-01 17:00:00,2020,3,1,17,0.82,0.028999999999999998,231.0,228.0,2.3,2.1,60.1,37.0,37.0,716.0,702.0,0.4,0.4,0.43,0.42,43412.0
12,2020-03-01 18:00:00,2020,3,1,18,0.1,0.0,230.0,228.0,1.9,1.7,60.1,36.0,36.0,208.0,219.0,0.0,0.0,0.0,0.13,43412.0
24,2020-03-02 06:00:00,2020,3,2,6,0.81,2.11,229.0,226.0,2.3,2.1,60.1,29.0,22.0,759.0,752.0,0.3,0.3,0.42,0.39,43412.0
25,2020-03-02 07:00:00,2020,3,2,7,4.1,9.387000000000002,233.0,230.0,6.5,5.9,60.2,32.0,29.0,787.0,775.0,2.5,2.5,2.08,2.09,43414.0
26,2020-03-02 08:00:00,2020,3,2,8,15.64,12.937999999999999,230.0,227.0,23.3,22.5,60.1,32.0,33.0,806.0,787.0,10.4,10.5,7.96,7.87,43424.0
