"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","降水量(mm)","降水時數(hr)","日照時數(hr)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","999.0","1002.3","30.0","22.5","64","0.0","0","3.7","240","0.0","0.0","...","0.00","...","0","..."
"02","998.6","1001.9","29.3","22.5","67","0.1","0","5.3","250","0.0","0.0","...","0.00","...","0","..."
"03","998.4","1001.7","28.1","23.2","75","0.2","0","2.3","170","0.0","0.0","...","0.00","...","0","..."
"04","998.2","1001.5","28.3","23.7","76","0.1","0","1.8","190","0.0","0.0","...","0.00","...","0","..."
"05","998.4","1001.7","28.5","23.0","72","0.8","160","3.8","190","0.0","0.0","...","0.00","16.0","0","3.0"
"06","998.7","1002.0","28.3","22.7","72","0.3","120","4.3","200","0.0","0.0","0.1","0.00","...","0","..."
"07","999.4","1002.7","28.5","22.3","69","0.8","100","2.9","110","0.0","0.0","0.9","0.25","...","0","..."
"08","999.4","1002.7","30.6","21.4","58","0.6","100","3.7","170","0.0","0.0","0.9","1.01","20.0","1","7.0"
"09","999.9","1003.1","32.0","21.9","55","1.7","270","6.0","280","0.0","0.0","0.6","1.78","30.0","4","8.0"
"10","1000.0","1003.2","32.1","22.2","56","0.5","220","4.4","150","0.0","0.0","0.1","1.42","...","5","..."
"11","999.8","1003.0","33.1","21.8","52","1.5","240","7.5","230","0.0","0.0","0.3","1.86","30.0","7","8.0"
"12","998.9","1002.1","33.3","22.1","52","1.6","170","5.4","190","0.0","0.0","0.2","2.08","...","9","..."
"13","998.5","1001.7","34.0","20.4","45","1.6","230","7.1","240","0.0","0.0","0.3","2.01","...","8","..."
"14","997.8","1001.0","31.9","21.5","54","1.3","240","8.6","270","0.0","0.0","0.5","2.24","25.0","8","9.0"
"15","997.9","1001.1","31.2","22.0","58","1.4","180","6.1","170","0.0","0.0","0.2","1.39","...","5","..."
"16","998.2","1001.4","31.7","21.5","55","0.5","250","6.1","190","0.0","0.0","0.0","0.60","...","2","..."
"17","998.8","1002.0","31.2","22.6","60","1.1","200","5.7","170","0.0","0.0","0.1","0.56","25.0","1","10.0"
"18","999.5","1002.8","29.9","23.4","68","0.5","200","6.6","270","0.0","0.0","0.0","0.00","...","0","..."
"19","1000.0","1003.3","29.5","23.4","70","1.3","200","5.4","170","0.0","0.0","0.0","0.00","...","0","..."
"20","1001.1","1004.4","28.5","23.8","76","0.6","80","3.3","60","0.0","0.0","...","0.00","20.0","0","10.0"
"21","1001.0","1004.3","27.9","23.8","78","0.5","110","4.0","110","0.0","0.0","...","0.00","20.0","0","10.0"
"22","1000.4","1003.7","27.6","24.0","81","0.0","0","4.8","80","0.0","0.0","...","0.00","...","0","..."
"23","999.8","1003.1","27.8","24.0","80","0.0","0","2.0","360","0.0","0.0","...","0.00","...","0","..."
"24","999.6","1002.9","27.7","23.7","79","0.6","60","2.5","80","0.0","0.0","...","0.00","...","0","..."
